Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
South Africa,3|0.004,Bronze,2750,0.004000,1.16,2.32
South Africa,3|0.251,Bronze,"2579,3330,3370,3428,3168,3155",0.251000,72.79,101.91
South Africa,3|0.099,Bronze,2217,0.099000,28.71,43.06
South Africa,3|0.042,Bronze,"3160,3205",0.042000,12.18,24.36
South Africa,3|0.008,Bronze,3237,0.008000,2.32,4.64
South Africa,3|0.05,Bronze,3335,0.050000,14.50,29.00
South Africa,3|0.007,Bronze,2649,0.007000,2.03,4.06
South Africa,3|0.034,Bronze,2984,0.034000,9.86,19.72
South Africa,3|0.038,Bronze,2812,0.038000,11.02,22.04
South Africa,3|0.023,Bronze,2849,0.023000,6.67,13.34
India,3|0.067,Bronze,"2805,3193",0.067000,19.43,38.86
India,3|0.036,Bronze,2750,0.036000,10.44,20.88
India,3|0.502,Bronze,"2579,3160,3330,3406,3370,3309",0.502000,145.58,181.98
Pakistan,3|0.502,Bronze,"2579,3160",0.502000,145.58,181.98
Pakistan,3|0.067,Bronze,3193,0.067000,19.43,38.86
Pakistan,2|0.502,Silver,3309,0.502000,145.58,181.98
Pakistan,3|0.014,Bronze,3168,0.014000,4.06,8.12
Pakistan,3|0.235,Bronze,3371,0.235000,68.15,95.41
Bangladesh,3|0.502,Bronze,"2579,3160,3370",0.502000,145.58,181.98
Bangladesh,3|0.06,Bronze,"3309,3168",0.060000,17.40,34.80
Bangladesh,3|0.358,Bronze,3371,0.358000,103.82,129.77
Zambia,3|0.23,Bronze,"2750,2579,3160,3428",0.230000,66.70,93.38
Zambia,3|0.067,Bronze,3193,0.067000,19.43,38.86
Namibia,3|0.23,Bronze,"2579,3370,3371,3309",0.230000,66.70,93.38
Papua new gvineya,3|0.23,Bronze,3370,0.230000,66.70,93.38
Algeria,3|0.055,Bronze,2750,0.055000,15.95,31.90
Algeria,3|0.502,Bronze,"2579,3160,3330,3370,3428,3371,3309,3168",0.502000,145.58,181.98
Algeria,3|0.067,Bronze,3193,0.067000,19.43,38.86
Algeria,3|0.004,Bronze,3178,0.004000,1.16,2.32
Algeria,3|0.369,Bronze,3335,0.369000,107.01,133.76
Ethiopia,3|0.23,Bronze,"2750,2579,2567,3370,3309",0.230000,66.70,93.38
Ethiopia,3|0.067,Bronze,3193,0.067000,19.43,38.86
Ethiopia,3|0.071,Bronze,3168,0.071000,20.59,30.88
